leaf,total,density,timepoints,species,plantedyear,plantedtype
0.005,0.009,1252,1,flax,2011,monoculture
0.007,0.017,1252,1,flax,2011,monoculture
0.004,0.007,1252,1,flax,2011,monoculture
0.006,0.011,1252,1,flax,2011,monoculture
0.007,0.012,1252,1,flax,2011,monoculture
0.007,0.011,1252,1,flax,2011,monoculture
0.008,0.013,1252,1,flax,2011,monoculture
0.009,0.014,1252,1,flax,2011,monoculture
0.009,0.013,1252,1,flax,2011,monoculture
0.004,0.008,1252,1,flax,2011,monoculture
0.006,0.01,1252,1,flax,2011,monoculture
0.007,0.01,1252,1,flax,2011,monoculture
0.006,0.011,1252,1,flax,2011,monoculture
0.005,0.008,1252,1,flax,2011,monoculture
0.007,0.009,1252,1,flax,2011,monoculture
0.005,0.008,1252,1,flax,2011,monoculture
0.006,0.008,1252,1,flax,2011,monoculture
0.017,0.032,2324.888889,1,flax,2011,monoculture
0.017,0.031,2324.888889,1,flax,2011,monoculture
0.008,0.016,2324.888889,1,flax,2011,monoculture
0.003,0.007,2324.888889,1,flax,2011,monoculture
0.01,0.019,2324.888889,1,flax,2011,monoculture
0.003,0.008,2324.888889,1,flax,2011,monoculture
0.006,0.009,2324.888889,1,flax,2011,monoculture
0.004,0.012,2324.888889,1,flax,2011,monoculture
0.005,0.012,2324.888889,1,flax,2011,monoculture
0.004,0.008,2324.888889,1,flax,2011,monoculture
0.015,0.029,2324.888889,1,flax,2011,monoculture
0.015,0.026,2324.888889,1,flax,2011,monoculture
0.02,0.031,2324.888889,1,flax,2011,monoculture
0.012,0.023,2324.888889,1,flax,2011,monoculture
0.006,0.01,2324.888889,1,flax,2011,monoculture
0.007,0.022,2324.888889,1,flax,2011,monoculture
0.013,0.025,2324.888889,1,flax,2011,monoculture
0.01,0.032,2324.888889,1,flax,2011,monoculture
0.008,0.013,2324.888889,1,flax,2011,monoculture
0.02,0.028,2324.888889,1,flax,2011,monoculture
0.021,0.034,113.3333333,1,flax,2011,monoculture
0.015,0.027,113.3333333,1,flax,2011,monoculture
0.049,0.083,113.3333333,1,flax,2011,monoculture
0.018,0.033,113.3333333,1,flax,2011,monoculture
0.018,0.034,113.3333333,1,flax,2011,monoculture
0.037,0.059,113.3333333,1,flax,2011,monoculture
0.016,0.03,113.3333333,1,flax,2011,monoculture
0.042,0.066,113.3333333,1,flax,2011,monoculture
0.021,0.038,113.3333333,1,flax,2011,monoculture
0.021,0.038,113.3333333,1,flax,2011,monoculture
0.018,0.036,113.3333333,1,flax,2011,monoculture
0.016,0.032,113.3333333,1,flax,2011,monoculture
0.02,0.031,113.3333333,1,flax,2011,monoculture
0.025,0.045,113.3333333,1,flax,2011,monoculture
0.014,0.023,113.3333333,1,flax,2011,monoculture
0.014,0.024,113.3333333,1,flax,2011,monoculture
0.022,0.037,113.3333333,1,flax,2011,monoculture
0.011,0.024,113.3333333,1,flax,2011,monoculture
0.014,0.025,113.3333333,1,flax,2011,monoculture
0.015,0.025,113.3333333,1,flax,2011,monoculture
0.028,0.051,272.4444444,1,flax,2011,monoculture
0.059,0.093,272.4444444,1,flax,2011,monoculture
0.02,0.039,272.4444444,1,flax,2011,monoculture
0.038,0.059,272.4444444,1,flax,2011,monoculture
0.031,0.052,272.4444444,1,flax,2011,monoculture
0.033,0.055,272.4444444,1,flax,2011,monoculture
0.026,0.048,272.4444444,1,flax,2011,monoculture
0.02,0.036,272.4444444,1,flax,2011,monoculture
0.013,0.024,272.4444444,1,flax,2011,monoculture
0.016,0.028,272.4444444,1,flax,2011,monoculture
0.02,0.037,272.4444444,1,flax,2011,monoculture
0.038,0.058,272.4444444,1,flax,2011,monoculture
0.033,0.052,272.4444444,1,flax,2011,monoculture
0.008,0.019,272.4444444,1,flax,2011,monoculture
0.018,0.032,272.4444444,1,flax,2011,monoculture
0.029,0.047,272.4444444,1,flax,2011,monoculture
0.011,0.027,272.4444444,1,flax,2011,monoculture
0.012,0.021,272.4444444,1,flax,2011,monoculture
0.001,0.006,272.4444444,1,flax,2011,monoculture
0.036,0.063,272.4444444,1,flax,2011,monoculture
0.105,0.167,603.1111111,1,flax,2011,monoculture
0.058,0.09,603.1111111,1,flax,2011,monoculture
